DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
12-Aug-2026,EQ,"2,445.70","2,445.80","2,300.10","2,445.70","2,349.70","2,349.70","2,341.12","3,350.00","1,976.80","70,22,647","16,44,08,82,989.40","2,69,920"
11-Aug-2026,EQ,"2,438.00","2,456.60","2,428.00","2,425.70","2,445.70","2,445.70","2,439.75","3,350.00","1,976.80","15,14,105","3,69,40,41,243.50","81,637"
10-Aug-2026,EQ,"2,452.70","2,472.90","2,423.50","2,452.70","2,425.70","2,425.70","2,449.22","3,350.00","1,976.80","23,22,023","5,68,71,53,770.30","1,19,267"
07-Aug-2026,EQ,"2,375.00","2,457.70","2,375.00","2,373.00","2,452.70","2,452.70","2,435.68","3,350.00","1,976.80","45,47,979","11,07,74,36,216.60","2,94,165"
06-Aug-2026,EQ,"2,417.00","2,434.50","2,368.50","2,413.00","2,373.00","2,373.00","2,393.09","3,350.00","1,976.80","27,29,141","6,53,10,92,780.40","1,16,317"
05-Aug-2026,EQ,"2,460.00","2,460.90","2,408.00","2,460.00","2,413.00","2,413.00","2,424.72","3,350.00","1,976.80","30,14,409","7,30,91,09,003.30","1,15,103"
04-Aug-2026,EQ,"2,463.10","2,467.40","2,435.10","2,473.70","2,460.00","2,460.00","2,449.56","3,350.00","1,976.80","27,92,792","6,84,11,15,260.50","91,828"
03-Aug-2026,EQ,"2,383.90","2,473.70","2,383.00","2,365.60","2,473.70","2,473.70","2,429.42","3,350.00","1,976.80","30,36,839","7,37,77,69,245.80","1,30,409"
31-Jul-2026,EQ,"2,385.00","2,391.00","2,326.10","2,431.80","2,366.00","2,365.60","2,364.25","3,350.00","1,976.80","43,43,683","10,26,95,62,982.90","1,64,495"
30-Jul-2026,EQ,"2,440.00","2,495.00","2,423.00","2,446.60","2,434.00","2,431.80","2,459.56","3,350.00","1,976.80","49,01,582","12,05,57,19,188.10","1,68,548"
29-Jul-2026,EQ,"2,440.00","2,475.50","2,415.10","2,398.00","2,440.00","2,446.60","2,450.86","3,350.00","1,976.80","71,69,419","17,57,12,37,330.30","2,07,914"
28-Jul-2026,EQ,"2,325.00","2,417.40","2,323.00","2,295.60","2,398.00","2,398.00","2,389.74","3,350.00","1,976.80","82,48,513","19,71,17,86,830.00","2,56,167"
27-Jul-2026,EQ,"2,286.00","2,315.00","2,272.40","2,254.30","2,296.90","2,295.60","2,299.88","3,350.00","1,976.80","40,07,292","9,21,62,95,835.20","1,62,713"
24-Jul-2026,EQ,"2,205.10","2,264.30","2,205.10","2,242.90","2,250.20","2,254.30","2,246.06","3,350.00","1,976.80","32,11,699","7,21,36,56,139.40","1,23,535"
23-Jul-2026,EQ,"2,204.00","2,250.00","2,193.60","2,208.30","2,245.00","2,242.90","2,230.95","3,350.00","1,976.80","25,03,539","5,58,52,58,736.20","1,22,801"
22-Jul-2026,EQ,"2,216.00","2,226.80","2,201.00","2,221.10","2,207.00","2,208.30","2,211.61","3,350.00","1,976.80","15,99,665","3,53,78,39,940.50","76,904"
21-Jul-2026,EQ,"2,245.10","2,259.90","2,218.50","2,251.10","2,219.00","2,221.10","2,229.94","3,350.00","1,976.80","23,82,160","5,31,20,74,629.70","95,890"
20-Jul-2026,EQ,"2,280.10","2,283.40","2,245.10","2,269.00","2,251.00","2,251.10","2,257.07","3,350.00","1,976.80","22,02,693","4,97,16,23,639.20","81,615"
17-Jul-2026,EQ,"2,224.80","2,275.00","2,215.10","2,201.00","2,266.00","2,269.00","2,255.69","3,350.00","1,976.80","56,15,138","12,66,60,31,000.10","1,95,217"
